Data_Source__c,Emission_Factor_Update_Year__c,GWP_KGCO2EKG__C,NAME,REFRIGERANT_NAME__C,RecordType
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1400,Carbon tetrachloride - 2018 revision,Carbon tetrachloride,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,4750,CFC-11 / R11 (trichlorofluoromethane) - 2018 revision,CFC-11 / R11 (trichlorofluoromethane),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,6130,CFC-113 - 2018 revision,CFC-113,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,10000,CFC-114 - 2018 revision,CFC-114,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,7370,CFC-115 - 2018 revision,CFC-115,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,10900,CFC-12 / R12 (dichlorodifluoromethane) - 2018 revision,CFC-12 / R12 (dichlorodifluoromethane),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,14400,CFC-13 - 2018 revision,CFC-13,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1,Dimethylether - 2018 revision,Dimethylether,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1890,Halon-1211 - 2018 revision,Halon-1211,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,7140,Halon-1301 - 2018 revision,Halon-1301,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1640,Halon-2402 - 2018 revision,Halon-2402,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,77,HCFC-123 - 2018 revision,HCFC-123,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,609,HCFC-124 - 2018 revision,HCFC-124,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,725,HCFC-141b - 2018 revision,HCFC-141b,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,2310,HCFC-142b - 2018 revision,HCFC-142b,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,151,HCFC-21 - 2018 revision,HCFC-21,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1810,HCFC-22 / R22 (chlorodifluoromethane) - 2018 revision,HCFC-22 / R22 (chlorodifluoromethane),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,122,HCFC-225ca - 2018 revision,HCFC-225ca,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,595,HCFC-225cb - 2018 revision,HCFC-225cb,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,350,HCFE-235da2 - 2018 revision,HCFE-235da2,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,3500,HFC-125 - 2018 revision,HFC-125,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1100,HFC-134 - 2018 revision,HFC-134,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1430,HFC-134a - 2018 revision,HFC-134a,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,353,HFC-143 - 2018 revision,HFC-143,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,4470,HFC-143a - 2018 revision,HFC-143a,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,53,HFC-152 - 2018 revision,HFC-152,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,124,HFC-152a - 2018 revision,HFC-152a,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,12,HFC-161 - 2018 revision,HFC-161,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,3220,HFC-227ea - 2018 revision,HFC-227ea,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,14800,HFC-23 - 2018 revision,HFC-23,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1340,HFC-236cb - 2018 revision,HFC-236cb,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1370,HFC-236ea - 2018 revision,HFC-236ea,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,9810,HFC-236fa - 2018 revision,HFC-236fa,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,693,HFC-245ca - 2018 revision,HFC-245ca,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1030,HFC-245fa - 2018 revision,HFC-245fa,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,675,HFC-32 - 2018 revision,HFC-32,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,794,HFC-365mfc - 2018 revision,HFC-365mfc,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,92,HFC-41 - 2018 revision,HFC-41,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1640,HFC-43-I0mee - 2018 revision,HFC-43-I0mee,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,14900,HFE-125 - 2018 revision,HFE-125,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,6320,HFE-134 - 2018 revision,HFE-134,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,756,HFE-143a - 2018 revision,HFE-143a,Refrigerants
