Name	trailheadapp__API_Name__c	trailheadapp__Created_At__c	trailheadapp__Description__c	trailheadapp__External_Id__c	trailheadapp__Icon__c	trailheadapp__Level__c	trailheadapp__Namespace__c	trailheadapp__Products__c	trailheadapp__Roles__c	trailheadapp__Tags__c	trailheadapp__Type__c	trailheadapp__URL__c
Getting Started With Pacifico Demo	getting-startdemo	2019-05-10T00:00:00.000Z	Hit the ground running with Salesforce CRM.	m-11529	/resource/demoboothdemogettingstartdemo	Beginner	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/getting-startdemo/
Add Sound Effects to Your Salesforce Org	add-sound-effects-to-your-sf-org	2019-04-02T00:00:00.000Z	Use a Lightning Web Component to play a fun sound when a big deal closes.	p-9397	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/projects/add-sound-effects-to-your-sf-org/18725e1f015fba464d0b90d85f3663de_badge.png	Beginner	learn	Salesforce Platform, Lightning	Admin, Developer	General	Project	https://developer.salesforce.com/trailhead/project/add-sound-effects-to-your-sf-org/
Build an App to Track Your Trailblazer Journey	build-an-app-to-track-your-trailblazer-journey	2019-05-25T00:00:00.000Z	Build an app to store study materials and notes as you explore the Salesforce ecosystem.	p-12611	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/projects/build-an-app-to-track-your-trailblazer-journey/3396e9f484c3bd18743d5c505d01beff_badge.png	Beginner	learn	Salesforce Platform	Admin	General	Project	https://developer.salesforce.com/trailhead/project/build-an-app-to-track-your-trailblazer-journey/
Summer '19 Release Highlights	summer-19-release-highlights	2019-05-03T00:00:00.000Z	Explore highlights from the Summer '19 release.	m-11199	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/summer-19-release-highlights/0fb4d0bc5067995548249ac02e564321_badge.png	Beginner	learn	Service Cloud, Einstein Analytics, Marketing Cloud, Community Cloud, Salesforce Platform, Sales Cloud, Lightning, Commerce Cloud, Health Cloud, Financial Services Cloud, Salesforce Success Cloud, Quip, Pardot	Admin	General	Module	https://developer.salesforce.com/trailhead/module/summer-19-release-highlights/
Connected App Basics	connected-app-basics	2019-05-13T00:00:00.000Z	Learn how connected apps integrate external applications with Salesforce.	m-11595	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/connected-app-basics/217e4d6412574a70dd8d873f89cc9a42_badge.png	Intermediate	learn	Salesforce Platform	Admin, Developer	Security	Module	https://developer.salesforce.com/trailhead/module/connected-app-basics/
Lightning Design System Basics	lightning-design-system-basics	2019-05-13T00:00:00.000Z	Get started using the Lightning Design System to build Salesforce apps.	m-11599	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/lightning-design-system-basics/797a8c33245fbde00bc9478a1247d935_badge.png	Beginner	learn	Salesforce Platform, Lightning	Developer	General	Module	https://developer.salesforce.com/trailhead/module/lightning-design-system-basics/
Commerce Cloud Einstein Implementation	cc-einstein-plan-and-implement	2019-05-21T00:00:00.000Z	Plan your deployment of Einstein for Salesforce B2C Commerce.	m-11986	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/cc-einstein-plan-and-implement/049bb9745c982294b1c990e563dee4ee_badge.png	Intermediate	learn	Commerce Cloud, Einstein	Admin	General	Module	https://developer.salesforce.com/trailhead/module/cc-einstein-plan-and-implement/
Smarter Search with Commerce Cloud Einstein	cc-einstein-smarter-search	2019-05-21T00:00:00.000Z	Help shoppers find what they’re looking for on your B2C Commerce site.	m-11987	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/cc-einstein-smarter-search/737cf13b484595a4c8bb34b6edc126e1_badge.png	Intermediate	learn	Commerce Cloud, Einstein	Admin	General	Module	https://developer.salesforce.com/trailhead/module/cc-einstein-smarter-search/
Apex Basics for Admins	apex-basics-for-admins	2019-05-21T00:00:00.000Z	Learn the fundamentals of the Apex programming language.	m-11993	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/apex-basics-for-admins/cb318c4c53e69345a903fedd62fdee64_badge.png	Intermediate	learn	General	Admin	Apex	Module	https://developer.salesforce.com/trailhead/module/apex-basics-for-admins/
Salesforce Command Center	salesforce-command-center	2019-05-21T00:00:00.000Z	Showcase your social presence with Salesforce Command Center.	m-11994	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/salesforce-command-center/564cfbe401c338bf80b3807ae4d5524e_badge.png	Beginner	learn	Marketing Cloud	Business User, Admin	General	Module	https://developer.salesforce.com/trailhead/module/salesforce-command-center/
