trailheadapp__Assigned_Date__c	trailheadapp__Badge__c	trailheadapp__Due_Date__c	trailheadapp__Finished_Date__c	trailheadapp__First_Attempted_Date__c	trailheadapp__Last_Attempted_Date__c	trailheadapp__Status__c	trailheadapp__User__c
	m-9287			2019-04-26T00:00:00.000Z	2019-04-26T00:00:00.000Z	In-Progress	User.001
	m-9289			2019-04-26T00:00:00.000Z	2019-05-23T00:00:00.000Z	In-Progress	User.001
	m-10315			2019-05-23T00:00:00.000Z	2019-05-23T00:00:00.000Z	In-Progress	User.001
	m-7054		2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	Completed	User.001
	m-12456		2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	Completed	User.001
	m-7564		2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	Completed	User.001
	m-8175		2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	Completed	User.001
	m-12450			2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	In-Progress	User.001
	m-12609		2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	2019-03-27T00:00:00.000Z	Completed	User.001
	m-9289			2019-03-30T00:00:00.000Z	2019-03-30T00:00:00.000Z	In-Progress	User.018
	m-2656	2018-09-30T22:45:02.000Z		2018-11-04T14:56:56.000Z	2018-11-04T14:56:56.000Z	In-Progress	User.016
	m-6837	2018-08-23T19:14:58.000Z		2018-06-20T18:34:55.000Z	2018-06-20T18:34:55.000Z	In-Progress	User.016
	m-11598	2019-02-06T01:11:38.000Z		2018-12-23T12:48:42.000Z	2018-12-23T12:48:42.000Z	In-Progress	User.016
	m-5208	2018-07-09T09:32:25.000Z		2018-11-27T04:31:56.000Z	2018-11-27T04:31:56.000Z	In-Progress	User.031
	m-4638	2018-07-31T18:48:01.000Z		2018-05-13T10:04:18.000Z	2018-05-13T10:04:18.000Z	In-Progress	User.017
	m-2643	2018-09-17T21:26:50.000Z		2019-01-17T11:58:43.000Z	2019-01-17T11:58:43.000Z	In-Progress	User.001
	m-5197			2019-01-10T11:19:29.000Z	2019-01-10T11:19:29.000Z	In-Progress	User.037
	m-8209			2019-02-14T12:42:29.000Z	2019-02-14T12:42:29.000Z	In-Progress	User.018
	m-11995			2018-08-30T03:49:34.000Z	2018-08-30T03:49:34.000Z	In-Progress	User.000
	m-5228			2018-12-09T15:36:10.000Z	2018-12-09T15:36:10.000Z	In-Progress	User.023
	m-7505			2019-02-23T07:55:24.000Z	2019-02-23T07:55:24.000Z	In-Progress	User.002
	m-7429			2018-06-28T05:46:08.000Z	2018-06-28T05:46:08.000Z	In-Progress	User.003
	m-6703			2018-05-07T23:12:33.000Z	2018-05-07T23:12:33.000Z	In-Progress	User.017
	m-7398			2019-02-26T19:33:11.000Z	2019-02-26T19:33:11.000Z	In-Progress	User.023
	m-7064			2018-06-17T11:46:25.000Z	2018-06-17T11:46:25.000Z	In-Progress	User.005
	m-11597			2018-03-31T10:15:33.000Z	2018-03-31T10:15:33.000Z	In-Progress	User.031
	m-12596			2018-04-04T10:35:15.000Z	2018-04-04T10:35:15.000Z	In-Progress	User.001
	m-7063			2018-09-23T01:06:18.000Z	2018-09-23T01:06:18.000Z	In-Progress	User.006
	m-2647			2018-08-29T23:36:06.000Z	2018-08-29T23:36:06.000Z	In-Progress	User.007
	m-7393			2018-05-05T16:20:00.000Z	2018-05-05T16:20:00.000Z	In-Progress	User.011
	m-6722			2019-01-29T17:25:57.000Z	2019-01-29T17:25:57.000Z	In-Progress	User.001
	m-5229	2018-08-20T21:52:32.000Z				Assigned	User.012
	m-5232	2018-12-20T13:45:41.000Z				Assigned	User.013
	m-12462	2019-02-19T00:56:48.000Z				Assigned	User.011
	m-2652	2018-05-30T07:00:35.000Z				Assigned	User.007
	m-5232	2019-03-23T09:25:47.000Z				Assigned	User.000
	m-11601	2018-11-16T06:06:50.000Z				Assigned	User.015
	m-5234	2018-11-27T19:00:25.000Z				Assigned	User.016
	m-2646	2018-06-04T20:41:05.000Z				Assigned	User.017
	m-12497	2018-05-21T13:07:26.000Z				Assigned	User.005
	m-12597	2018-09-29T01:24:35.000Z				Assigned	User.013
	m-5229	2019-03-21T01:36:36.000Z				Assigned	User.003
	m-2655	2018-11-21T19:04:22.000Z				Assigned	User.015
	m-8441	2019-03-08T16:40:36.000Z				Assigned	User.017
	m-6823	2018-11-30T08:02:45.000Z				Assigned	User.037
	m-2641	2018-09-15T02:40:43.000Z				Assigned	User.017
	m-12575	2018-07-12T17:33:54.000Z				Assigned	User.011
	m-2652	2018-07-09T02:18:04.000Z				Assigned	User.016
	m-12558	2019-02-12T21:58:17.000Z				Assigned	User.019
	m-6811	2018-11-01T15:47:18.000Z				Assigned	User.020
	m-6823	2018-11-18T06:56:13.000Z				Assigned	User.020
	m-6703	2018-08-11T06:17:15.000Z				Assigned	User.007
	m-2650	2019-03-25T05:50:20.000Z				Assigned	User.020
	m-12491	2018-06-07T13:59:35.000Z				Assigned	User.006
	m-12558	2018-04-15T03:05:52.000Z				Assigned	User.020
	m-12582	2018-05-02T20:42:46.000Z				Assigned	User.003
	m-6800	2019-01-25T17:49:36.000Z				Assigned	User.023
